Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
Control,T_0_0,T_0,0,80.02496273166666,14390.052218008605,179.81954288763848,0.0,0.4401244167962675,0.31905527585207055,0.24082030735166196,2.9972356818286543,0.004810635,80.02977336666666,0.4388939683595157,0.6844768959063711,25967,10126,115
R2R4,T_1_0,T_1,0,80.02496273166666,8958.86330658428,111.95085884168954,0.0,0.28602683396156786,0.37156338139547146,0.3424097846429607,1.8687316099994724,0.004810635,80.02977336666666,-0.24253915910964552,0.3632865013047948,13782,22608,61
Control4,T_10_0,T_10,0,80.02496273166666,10190.696113746524,127.34396575624977,0.0,0.3432532883464691,0.32925639876637586,0.327490312887155,2.1221307236244704,0.004810635,80.02977336666666,-0.5417971445252375,0.22756148351213853,8633,29049,88
R2R4,T_11_0,T_11,0,80.02496273166666,15468.680900811265,193.29819562277854,0.0,0.6060310514800854,0.27748635896354484,0.11648258955636977,3.221188047765187,0.004810635,80.02977336666666,0.045441219583699795,0.5169886917784748,19613,17908,107
Control4,T_12_0,T_12,0,80.02496273166666,18296.753213075306,228.63807227785313,0.0,0.6157049845796979,0.2955426101167725,0.08875240530352954,3.810713754091063,0.004810635,80.02977336666666,0.25193385267186,0.6036586973139679,22901,13684,158
R2R4,T_13_0,T_13,0,80.02496273166666,28460.408443684035,355.6441324329661,0.0,0.8251311384664048,0.11679890344518544,0.05806995808840973,5.937575524246974,0.004810635,80.02977336666666,0.13673496718896477,0.5593483933890397,21220,16115,248
Control,T_14_0,T_14,0,80.02496273166666,20329.615151234306,254.04091994896584,0.0,0.6637583361889449,0.2130637636080871,0.12317790020296808,4.23922699515951,0.004810635,80.02977336666666,0.14213007607414552,0.561957982971769,21319,16013,198
R2R4,T_15_0,T_15,0,80.02496273166666,22371.86951266914,279.56113628799443,0.0,0.7326620449692912,0.2021245749532119,0.0652133800774969,4.670188046073719,0.004810635,80.02977336666666,0.11568853293332976,0.5489627540395919,20826,16507,187
Control4,T_16_0,T_16,0,80.02496273166666,10762.418230988425,134.4882629570989,0.0,0.42009120383794185,0.5188074966391649,0.06110129952289322,2.2457389336091933,0.004810635,80.02977336666666,0.22218932522272763,0.598465877639244,22704,14449,68
R2R4,T_17_0,T_17,0,80.02496273166666,17616.4961496247,220.13751144995763,0.0,0.5820966338930332,0.33060073279384244,0.08730263331312439,3.6677729576351137,0.004810635,80.02977336666666,0.01468029578077425,0.4919208160898331,18662,18122,153
Control,T_18_0,T_18,0,80.02496273166666,17146.81130016106,214.268282231588,0.0,0.5930094630571737,0.24796372934074914,0.15902680760207713,3.5727026018565105,0.004810635,80.02977336666666,-0.07617461198804897,0.4605003031341435,17470,20351,163
R2R4,T_19_0,T_19,0,80.02496273166666,12378.916210047964,154.68818463003802,0.0,0.4131059387932625,0.30492658881830403,0.28196747238843345,2.583494047407173,0.004810635,80.02977336666666,-0.5173363706195534,0.240161320083296,9111,28642,100
Control,T_2_0,T_2,0,80.02496273166666,11803.868402089513,147.50232926279898,0.0,0.42531038300340035,0.27782903234309514,0.2968605846535045,2.4547391903177815,0.004810635,80.02977336666666,0.5780200891658162,0.7743891188022247,29378,7856,97
Control4,T_20_0,T_20,0,80.02496273166666,14915.495660564593,186.3855371051911,0.0,0.4894430239607771,0.2832854469251654,0.2272715291140575,3.105415853207693,0.004810635,80.02977336666666,0.15427107517412536,0.5700767061180378,21627,15846,120
R2R4,T_21_0,T_21,0,80.02496273166666,6563.790779734054,82.02179114713536,0.0,0.21024329809948072,0.31599757492685243,0.47375912697366684,1.3699882474133551,0.004810635,80.02977336666666,-0.7727741219376834,0.11331945066821308,4299,33540,43
Control,T_22_0,T_22,0,80.02496273166666,18992.755739989807,237.33539000417662,0.0,0.687033766507631,0.22980204022458287,0.08316419326778607,3.961324607774115,0.004810635,80.02977336666666,-0.3038275594967814,0.3435168832538155,13032,24407,151
R2R4,T_23_0,T_23,0,80.02496273166666,9234.613542761701,115.39666158579132,0.0,0.2632258744761051,0.3809473600970029,0.35582676542689196,1.9302698533685407,0.004810635,80.02977336666666,-0.6297945659377071,0.1840683237999842,6983,30742,78
Control,T_24_0,T_24,0,80.02496273166666,16347.328515721736,204.2778647774732,0.0,0.6479953607296307,0.28636950734111816,0.06563513192925113,3.412024820830443,0.004810635,80.02977336666666,-0.14712463940039364,0.4169280649497852,15817,21274,127
R2R4,T_25_0,T_25,0,80.02496273166666,12214.180341803376,152.62962861674794,0.0,0.44484276563776787,0.353269894825632,0.20188733953660015,2.5445578183411888,0.004810635,80.02977336666666,0.16865742952699475,0.580277829032343,22014,15660,117
Control4,T_26_0,T_26,0,80.02496273166666,18455.067702917313,230.6163860994147,0.0,0.6459656799430635,0.2197590742546854,0.13427524580225111,3.856134422657618,0.004810635,80.02977336666666,-0.24077412513255567,0.37744154782929595,14319,23401,169
R2R4,T_27_0,T_27,0,80.02496273166666,14312.978675891125,178.85642413710664,0.0,0.5007512454859372,0.38447953185544453,0.11476922265861823,2.9784315757001134,0.004810635,80.02977336666666,-0.24584329349269587,0.37422568995967,14197,23453,119
Control,T_28_0,T_28,0,80.02496273166666,18032.77830791154,225.33941525693197,0.0,0.6993963676621767,0.2223950233281493,0.07820860900967393,3.7608437785947286,0.004810635,80.02977336666666,-0.291788156708901,0.3521364367240425,13359,24367,135
R2R4,T_29_0,T_29,0,80.02496273166666,16859.754557128064,210.6811922382376,0.0,0.6168384426812874,0.28507789229512087,0.09808366502359174,3.5152642775234493,0.004810635,80.02977336666666,-0.27804516845612737,0.3598070485278224,13650,24164,144
R2R4,T_3_0,T_3,0,80.02496273166666,6235.103258489789,77.91447875329654,0.0,0.22977568073384821,0.35656483116746185,0.4136594880986899,1.3003285809574276,0.004810635,80.02977336666666,0.744306363006027,0.8620607849856341,32704,4794,37
