Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
Control,T_0_0,T_0,0,9.993737753333333,3641.8696097235406,364.4151667386733,0.0,0.739578947368421,0.20378947368421052,0.05663157894736842,6.093296470594119,0.004810635,9.998548388333333,0.06319537160658656,0.5029473684210526,2389,2105,33
R2R4,T_1_0,T_1,0,9.993737753333333,2576.9267087762264,257.8541455039395,0.0,0.5663157894736842,0.3353684210526316,0.0983157894736842,4.310263030564859,0.004810635,9.998548388333333,0.3482652613087396,0.6463157894736842,3070,1484,22
Control4,T_10_0,T_10,0,9.993737753333333,3262.6638055073136,326.47082463406423,0.0,0.8648421052631579,0.10778947368421053,0.02736842105263158,5.436102926290992,0.004810635,9.998548388333333,0.15325342465753425,0.5671578947368421,2694,1978,30
R2R4,T_11_0,T_11,0,9.993737753333333,2790.8500183235838,279.2598812584128,0.0,0.7498947368421053,0.17305263157894737,0.07705263157894737,4.659272665305149,0.004810635,9.998548388333333,0.1113481228668942,0.5484210526315789,2605,2083,19
Control4,T_12_0,T_12,0,9.993737753333333,4035.502577122814,403.8031291922588,0.0,0.8865263157894737,0.0848421052631579,0.02863157894736842,6.721223760701986,0.004810635,9.998548388333333,0.25689655172413794,0.6138947368421053,2916,1724,36
R2R4,T_13_0,T_13,0,9.993737753333333,4899.806226563993,490.2876528783939,0.0,0.9029473684210526,0.05410526315789474,0.04294736842105263,8.193105173176688,0.004810635,9.998548388333333,0.157194938880549,0.568,2698,1965,50
Control,T_14_0,T_14,0,9.993737753333333,4492.746397479828,449.55616290624675,0.0,0.9290526315789474,0.05431578947368421,0.01663157894736842,7.476932468619461,0.004810635,9.998548388333333,0.2602621964324092,0.6172631578947368,2932,1721,47
R2R4,T_15_0,T_15,0,9.993737753333333,3842.9337659562707,384.53418138518697,0.0,0.8541052631578947,0.10694736842105264,0.03894736842105263,6.4055265245799635,0.004810635,9.998548388333333,0.2520775623268698,0.6185263157894737,2938,1755,35
Control4,T_16_0,T_16,0,9.993737753333333,1557.6455650313858,155.86216123310274,0.0,0.4943157894736842,0.4974736842105263,0.008210526315789474,2.6032168604173,0.004810635,9.998548388333333,0.24935064935064935,0.6075789473684211,2886,1734,10
R2R4,T_17_0,T_17,0,9.993737753333333,3206.1419260708108,320.8150949329671,0.0,0.7225263157894737,0.2256842105263158,0.051789473684210524,5.327087560700249,0.004810635,9.998548388333333,0.006602768903088392,0.4974736842105263,2363,2332,32
Control,T_18_0,T_18,0,9.993737753333333,3230.3890780856373,323.24132950238425,0.0,0.7269473684210527,0.16631578947368422,0.10673684210526316,5.3676154116516965,0.004810635,9.998548388333333,-0.12645134051087187,0.43557894736842107,2069,2668,30
