TrackingRegion,ObjectID,CountingRegion,PIMult,Treatment
T_0,0,Left1,1,On
T_0,0,Right1,1,Off
T_1,0,Left1,1,On
T_1,0,Right1,1,Off
T_2,0,Left1,1,On
T_2,0,Right1,1,Off
T_3,0,Left1,1,On
T_3,0,Right1,1,Off
T_4,0,Left1,1,On
T_4,0,Right1,1,Off
T_5,0,Left1,1,On
T_5,0,Right1,1,Off
T_6,0,Left1,1,On
T_6,0,Right1,1,Off
T_7,0,Left1,1,On
T_7,0,Right1,1,Off
T_8,0,Left1,1,On
T_8,0,Right1,1,Off
T_9,0,Left1,1,On
T_9,0,Right1,1,Off
T_10,0,Left1,1,On
T_10,0,Right1,1,Off
T_11,0,Left1,1,On
T_11,0,Right1,1,Off
T_12,0,Left1,1,On
T_12,0,Right1,1,Off
T_13,0,Left1,1,On
T_13,0,Right1,1,Off
T_14,0,Left1,1,On
T_14,0,Right1,1,Off
T_15,0,Left1,1,On
T_15,0,Right1,1,Off
T_16,0,Left1,1,On
T_16,0,Right1,1,Off
T_17,0,Left1,1,On
T_17,0,Right1,1,Off
T_18,0,Left2,1,Off
T_18,0,Right2,1,On
T_19,0,Left2,1,Off
T_19,0,Right2,1,On
T_20,0,Left2,1,Off
T_20,0,Right2,1,On
T_21,0,Left2,1,Off
T_21,0,Right2,1,On
T_22,0,Left2,1,Off
T_22,0,Right2,1,On
T_23,0,Left2,1,Off
T_23,0,Right2,1,On
T_24,0,Left2,1,Off
T_24,0,Right2,1,On
T_25,0,Left2,1,Off
T_25,0,Right2,1,On
T_26,0,Left2,1,Off
T_26,0,Right2,1,On
T_27,0,Left2,1,Off
T_27,0,Right2,1,On
T_28,0,Left2,1,Off
T_28,0,Right2,1,On
T_29,0,Left2,1,Off
T_29,0,Right2,1,On
T_30,0,Left2,1,Off
T_30,0,Right2,1,On
T_31,0,Left2,1,Off
T_31,0,Right2,1,On
T_32,0,Left2,1,Off
T_32,0,Right2,1,On
T_33,0,Left2,1,Off
T_33,0,Right2,1,On
T_34,0,Left2,1,Off
T_34,0,Right2,1,On
T_35,0,Left2,1,Off
T_35,0,Right2,1,On
